Age,Gender,Diet Type,Allergies,Goal,Physical Activity Level,Height (cm),Weight (kg),Diet Plan
33,Male,Non-Vegetarian,Shellfish,Weight Loss,Sedentary,151,97,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
61,Female,Dairy-Free,Lactose,Weight Loss,Sedentary,193,50,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
40,Male,Gluten-Free,None,Weight Loss,Sedentary,164,110,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
64,Female,Non-Vegetarian,Gluten,Diabetes Management,Sedentary,199,67,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
44,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Moderate,156,63,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
63,Female,Dairy-Free,Nuts,Weight Loss,Active,180,73,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
40,Male,Non-Vegetarian,Gluten,Diabetes Management,Active,170,57,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
27,Female,Vegetarian,None,Weight Loss,Sedentary,167,119,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
19,Female,Vegan,Shellfish,Weight Loss,Sedentary,153,50,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
34,Female,Gluten-Free,Shellfish,Weight Loss,Active,167,66,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
63,Female,Gluten-Free,Shellfish,PCOD/PCOS Cure,Sedentary,186,64,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
69,Female,Gluten-Free,Nuts,PCOD/PCOS Cure,Active,196,105,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
28,Male,Vegetarian,Shellfish,Weight Gain,Moderate,169,63,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
20,Female,Vegan,Shellfish,Muscle Gain,Moderate,162,93,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
66,Male,Vegan,Lactose,Weight Loss,Sedentary,179,86,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
